ID,AUTHOR_ID,LINK,CONTENT,ZAN,ZHUANFA,PINGLUN,TIME
1,1,https://www.facebook.com/ChinaGlobalTVNetwork/posts/499700278190116,"The Chinese mainland recorded 73 confirmed #COVID19 cases on Thursday, with 23 linked to local transmissions and 50 from overseas, data from the National Health Commission showed on Friday.",190,3,8,2022-01-21 10:31:41
2,1,https://www.facebook.com/ChinaGlobalTVNetwork/posts/499682861525191,"The clean-up efforts are ramping up in #Tonga, which is still covered by thick volcanic ash following eruption and tsunami.",74,0,0,2022-01-21 09:56:54
3,1,https://www.facebook.com/ChinaGlobalTVNetwork/posts/499674861525991,From the scene: images showing the scene of the coastal area of tsunami-hit #Tonga following the January 14 volcanic eruption. Coastal areas are severely damaged and yet to open to traffic.,188,12,5,2022-01-21 09:57:04
4,1,https://www.facebook.com/watch/?v=688457855855923,"Singaporean diplomat Kishore Mahbubani was Singapore's ambassador to the United Nations and served as president of the UN Security Council. In his new book ""The Asian 21st Century,"" Mahbubani offers a comprehensive and in-depth study of the global dynamics and challenges as well as concrete solutions for restoring international governance. How should China and the United States cope with each other in the face of geopolitical tensions? Is the ""American Dream"" fading today? Mahbubani says that at the international level, the U.S. should stop trying to prevent the return of China, which cannot succeed, and that an all-out geopolitical contest would be bad for the two countries and the world. He also says the ""American Dream"" has been badly damaged, and that the U.S. has become a plutocracy where the government is ""of the 1 percent, by the 1 percent, and for the 1 percent."" The average income in the U.S. for people in the bottom 50 percent hasn't gone up for 30 years, whereas those in the top 1 percent are seeing tremendous exponential growth in their wealth. Mahbubani says it's in America's interests to deal with this serious problem squarely.收起",35,434,8653,2022-01-21 09:57:14
5,1,https://www.facebook.com/ChinaGlobalTVNetwork/posts/499635158196628,"The United Nations General Assembly President Abdulla Shahid will attend the opening of the Beijing Winter Olympics.He will also join in the torch relay, his office spokesperson said on Thursday. #Beijing2022",83,1,2,2022-01-21 08:57:29
6,1,https://www.facebook.com/ChinaGlobalTVNetwork/posts/499627291530748,"All Chinese citizens in #Tonga are safe and sound, Chinese Ambassador to Tonga Cao Xiaolin told CMG on Thursday.",92,7,3,2022-01-21 08:57:37
7,1,https://www.facebook.com/ChinaGlobalTVNetwork/posts/499096864917124,"As the Year of the Tiger approaches, a tiger-themed exhibition is being held at China's National Museum in Beijing, with various artworks showcasing tiger in Chinese culture. The tiger is the third sign in the Chinese zodiac cycle and symbolizes strength and courage.  #SpringFestival2022",179,37,8,2022-01-21 07:57:44
8,1,https://www.facebook.com/ChinaGlobalTVNetwork/posts/499623698197774,"New Zealand Defense Minister said the third navy ship will be sent to Tonga on the 22nd to carry relief supplies and portable desalination equipment, and is expected to arrive on the 25th. New Zealand had dispatched two warships to Tonga. #tonga #newzealand #CGTNAmerica",386,10,9,2022-01-21 07:57:52
9,1,https://www.facebook.com/ChinaGlobalTVNetwork/posts/499621924864618,"The New Zealand Defence Force is conducting inspections on the safety of the Tonga terminal. A New Zealand Defence Force official said the Navy ship Wellington is working with the pier to catch up with the arrival of another warship, the HMNZS Aotearoa.Food and drinking water are urgently needed with the ongoing volcano eruption. “Aotearoa” is loaded with 250,000 liters of water and other supplies, in addition, the onboard unit has the capacity to produce an additional 70,000 liters of water per day.#tonga #newzealand",104,12,5,2022-01-21 07:58:01
10,1,https://www.facebook.com/ChinaGlobalTVNetwork/posts/499695391523938,Are you ready for #OneDream to lead you into a world of ice and snow? There's just one day to go! Join us and experience the excitement of winter sports. Get into the Winter Olympics mood! #Beijing2022,22,3,0,2022-01-21 11:01:28
11,1,https://www.facebook.com/ChinaGlobalTVNetwork/posts/499621031531374,The traditional Chinese mural “Space Dream” commemorates 11 Chinese heroes who fulfilled their space dreams. China has had a long-term vision for establishing its own space station. A total of 11 missions to build China's space station are planned in 2021 and 2022. #CentenaryandBeyond #CGTNAmerica,33,4,0,2022-01-21 07:19:54
12,1,https://www.facebook.com/ChinaGlobalTVNetwork/posts/499309048229239,"Graphics: COVID-19 crisis in the U.S. worsens with Omicron dominantThe United States reported its first COVID-19 case on January 21, 2020. Americans have experienced winter holiday surges of COVID-19 twice in the past two years, but this time it is fueled by the now-dominant Omicron variant.Holidays have proven to be a catalyst for #COVID19 infections. Experts say Thanksgiving has played a major role in the country's largest viral surge to date.Read more: https://news.cgtn.com/.../Graphics-COVID-19.../index.html",54,0,0,2022-01-21 12:41:02
13,1,https://www.facebook.com/ChinaGlobalTVNetwork/posts/499781044848706,"The power has been resumed in Tongan capital Nuku'alofa, located on Tongatapu Island, as of Friday noon local time, CMG reported on Friday. #Tonga For more: https://news.cgtn.com/.../Tongan-capital.../index.html",56,1,0,2022-01-21 12:21:10
14,1,https://www.facebook.com/ChinaGlobalTVNetwork/posts/499741818185962,"The torch relay of the #Beijing2022 Winter Olympic Games will be held from February 2 to 4 in its three main clusters - downtown Beijing, the capital's Yanqing District, and Zhangjiakou in neighboring Hebei Province.",136,3,2,2022-01-21 12:05:17
15,1,https://www.facebook.com/ChinaGlobalTVNetwork/posts/499670201526457,"The first aid flights reached #Tonga on Thursday with more en route, five days after a devastating volcanic eruption and tsunami, as communities awaited a ship with equipment to scale up supplies of much-needed drinking water.",195,5,0,2022-01-21 12:05:22
16,1,https://www.facebook.com/watch/?v=301259432043063,Tonga's Minister of Trade and Economic Development Viliami Uasike Latu on Friday posted online foota…展开,64,999,6683,2022-01-21 12:05:28
17,1,https://www.facebook.com/watch/?v=2912292762359371,A transport plane carrying humanitarian aid and supplies left for #Tonga from a military airfield in…展开,40,213,6683,2022-01-21 13:01:30
18,1,https://www.facebook.com/watch/?v=469469021202146,The traditional Chinese mural “Space Dream” commemorates 11 Chinese heroes who fulfilled their space dreams. China has had a long-term vision for establishing its own space station. A total of 11 missions to build China's space station are planned in 2021 and 2022. #CentenaryandBeyond收起,4,884,6683,2022-01-21 07:21:39
19,1,https://www.facebook.com/ChinaGlobalTVNetwork/posts/499117921581685,"#ChinaFaces: Safe and sound! Meet the three Chinese university professors who help plant vegetables in TongaThree Chinese professors – Zhao Peibao, Ren Aizhi and Zhang Jianfeng – who have been providing assistance in Tonga since 2020 were confirmed safe by Liaocheng University in east China's Shandong Province on Tuesday, after the devastating volcano eruption.A heated discussion was soon ignited on Chinese social media, with users wondering what they're doing in the disaster-hit nation.In 2018, Chinese government offered to provide education assistance and vegetable-growing techniques to Tonga, hoping to further local education and enrich the food variety in the nation.Equipped with expertise and rich experience in agriculture, Zhao, Ren and Zhang landed in Tonga's capital in January, 2020. Before them, a group of four teachers had already been sent by their university in 2019.Confronted with difficulties like a shortage of vegetable seeds, suitable farming tools or even cultivated land, the professors purchased seeds and farming tools at their own expense, carefully watered the seeds and caught insects by themselves. Despite countless challenges, they managed to grow Chinese cucumbers, pumpkins, leeks, bitter melons, cabbages and other vegetables, greatly enriching the food selection of the locals.""Now, most of the vegetables that the locals enjoy are from China, or planted with the aid of our university's professors,"" a Liaocheng University official said.",88,10,1,2022-01-21 07:21:47
20,1,https://www.facebook.com/watch/?v=607248857034613,The U.S. federal trial of three former police officers involved in George Floyd's death began in the U.S. state of Minnesota on Thursday. They are charged with abusing their positions to deprive Floyd ?of his civil rights. #georgefloyd #CGTNAmericahttps://newsus.cgtn.com/.../More-officers-are.../index.html收起,86,704,6683,2022-01-21 07:21:53
21,1,https://www.facebook.com/ChinaGlobalTVNetwork/posts/499606494866161,It will be a ‘disaster’ for Russia. President Biden predicts dire consequences for Russia if it invades Ukraine.Watch: ,137,11,68,2022-01-21 07:22:08
22,1,https://www.facebook.com/watch/?v=929394961056583,It will be a ‘disaster’ for Russia. President Biden predicts dire consequences for Russia if it invades Ukraine.Watch: 收起,30,1802,18,2022-01-21 05:22:22
23,1,https://www.facebook.com/ChinaGlobalTVNetwork/posts/499606351532842, CGTNEurope's new TikTok channel @ourplanetneedsyou is about you and the Earth we all share.  Climate Change is affecting everyone's lives - changing the countryside around us; what we eat; how we travel; how safe we all are. Here you can learn about the problems and be the solution: https://www.tiktok.com/@ourplanetneedsyou,49,3,0,2022-01-21 07:22:30
24,1,https://www.facebook.com/watch/?v=880615132632815, CGTNEurope's new TikTok channel @ourplanetneedsyou is about you and the Earth we all share. …展开,5,823,6683,2022-01-21 06:22:35
25,1,https://www.facebook.com/watch/?v=1007702009825741,"With the Beijing Winter Olympics fast approaching, there's understandably concern about the potential impact of the coronavirus Omicron variant. CGTN's Gerald Tan has the Gist on what's in place to mitigate the risks. #CGTNAmericahttps://newsus.cgtn.com/.../The-Gist-COVID-19.../index.html收起请访问新冠疫情信息中心了解疫苗相关资源。了解疫苗信息",33,595,6683,2022-01-21 07:22:43
26,1,https://www.facebook.com/ChinaGlobalTVNetwork/posts/499605788199565,Thousands gathered in #Athens to show opposition to what they believe are inadequate #coronavirus protection measures in schools.Evangelos Sipsas reports,27,2,0,2022-01-21 07:22:50
27,1,https://www.facebook.com/watch/?v=633185034550623,Thousands gathered in #Athens to show opposition to what they believe are inadequate #coronavirus protection measures in schools.Evangelos Sipsas reports收起,10,597,6683,2022-01-21 06:22:57
28,1,https://www.facebook.com/watch/?v=4741301379285725,The Sundance Film Festival kicks off on Thursday as a virtual event for the second year in a row. Organizers canceled plans for a hybrid approach as nationwide cases of COVID-19 hit an all-time high. CGTN's Ediz Tiyansan reports. #CGTNAmericahttps://newsus.cgtn.com/.../Sundance-Film.../index.html收起,41,1397,6683,2022-01-21 06:23:07
29,1,https://www.facebook.com/watch/?v=664259781272266,The U.S. state of New York faces a crisis as a national ban on evictions is lifted. The ban started in 2020 to protect tenants unemployed due to #COVID19. New York hopes to secure new support for those at risk of losing their homes. #newyork #tenants #CGTNAmericahttps://newsus.cgtn.com/.../Thousands-of.../index.html收起,48,1233,6683,2022-01-21 06:23:15
30,1,https://www.facebook.com/ChinaGlobalTVNetwork/posts/499597334867077,An enormous underwater volcanic eruption in Tonga triggered a tsunami that spread across the Pacific Ocean on Saturday. What do we know about the power and global reach of the eruption so far?#CGTNAmerica,285,45,5,2022-01-21 06:23:24
